nace,description
1011,Processing and preserving of meat
9601,Washing and (dry-)cleaning of textile and fur products
115,Growing of tobacco
9609,Other personal service activities n.e.c.
9529,Repair of other personal and household goods
312,Freshwater fishing
129,Growing of other perennial crops
128,"Growing of spices, aromatic, drug and pharmaceutical crops"
127,Growing of beverage crops
126,Growing of oleaginous fruits
125,Growing of other tree and bush fruits and nuts
124,Growing of pome fruits and stone fruits
123,Growing of citrus fruits
122,Growing of tropical and subtropical fruits
119,Growing of other non-perennial crops
114,Growing of sugar cane
113,"Growing of vegetables and melons, roots and tubers"
112,Growing of rice
111,"Growing of cereals (except rice), leguminous crops and oil seeds"
121,Growing of grapes
9491,Activities of religious organisations
311,Marine fishing
1200,Manufacture of tobacco products
164,Seed processing for propagation
163,Post-harvest crop activities
149,Raising of other animals
147,Raising of poultry
146,Raising of swine/pigs
145,Raising of sheep and goats
144,Raising of camels and camelids
9420,Activities of trade unions
1081,Manufacture of sugar
9412,Activities of professional membership organisations
8542,Tertiary education
8551,Sports and recreation education
8552,Cultural education
8553,Driving school activities
6411,Central banking
1092,Manufacture of prepared pet foods
8560,Educational support activities
8541,Post-secondary non-tertiary education
1091,Manufacture of prepared feeds for farm animals
1086,Manufacture of homogenised food preparations and dietetic food
8610,Hospital activities
1085,Manufacture of prepared meals and dishes
8621,General medical practice activities
8622,Specialist medical practice activities
8623,Dental practice activities
1084,Manufacture of condiments and seasonings
1089,Manufacture of other food products n.e.c.
8690,Other human health activities
1101,"Distilling, rectifying and blending of spirits"
8531,General secondary education
8421,Foreign affairs
8422,Defence activities
8423,Justice and judicial activities
8424,Public order and safety activities
8425,Fire service activities
1107,Manufacture of soft drinks; production of mineral waters and other bottled waters
8532,Technical and vocational secondary education
8430,Compulsory social security activities
1105,Manufacture of beer
1104,Manufacture of other non-distilled fermented beverages
8510,Pre-primary education
4612,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
1103,Manufacture of cider and other fruit wines
8520,Primary education
1724,Manufacture of wallpaper
1102,Manufacture of wine from grape
1106,Manufacture of malt
8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
1083,Processing of tea and coffee
8710,Residential nursing care activities
1051,Operation of dairies and cheese making
9200,Gambling and betting activities
1042,Manufacture of margarine and similar edible fats
1041,Manufacture of oils and fats
9522,Repair of household appliances and home and garden equipment
9311,Operation of sports facilities
9312,Activities of sports clubs
9104,Botanical and zoological gardens and nature reserves activities
9313,Fitness facilities
9321,Activities of amusement parks and theme parks
9329,Other amusement and recreation activities
1039,Other processing and preserving of fruit and vegetables
1032,Manufacture of fruit and vegetable juice
1031,Processing and preserving of potatoes
9411,Activities of business and employers membership organisations
9523,Repair of footwear and leather goods
8810,Social work activities without accommodation for the elderly and disabled
9319,Other sports activities
1082,"Manufacture of cocoa, chocolate and sugar confectionery"
9103,Operation of historical sites and buildings and similar visitor attractions
9101,Library and archives activities
8720,"Residential care activities for mental retardation, mental health and substance abuse"
8730,Residential care activities for the elderly and disabled
1073,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
8790,Other residential care activities
1072,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
1071,Manufacture of bread; manufacture of fresh pastry goods and cakes
9102,Museums activities
8891,Child day-care activities
1062,Manufacture of starches and starch products
1061,Manufacture of grain mill products
9001,Performing arts
9002,Support activities to performing arts
9003,Artistic creation
9004,Operation of arts facilities
1052,Manufacture of ice cream
8899,Other social work activities without accommodation n.e.c.
8559,Other education n.e.c.
6120,Wireless telecommunications activities
4634,Wholesale of beverages
4635,Wholesale of tobacco products
4636,Wholesale of sugar and chocolate and sugar confectionery
4637,"Wholesale of coffee, tea, cocoa and spices"
2041,"Manufacture of soap and detergents, cleaning and polishing preparations"
4211,Construction of roads and motorways
4212,Construction of railways and underground railways
4213,Construction of bridges and tunnels
2540,Manufacture of weapons and ammunition
4221,Construction of utility projects for fluids
4674,"Wholesale of hardware, plumbing and heating equipment and supplies"
4299,Construction of other civil engineering projects n.e.c.
2530,"Manufacture of steam generators, except central heating hot water boilers"
4311,Demolition
4312,Site preparation
4313,Test drilling and boring
4638,"Wholesale of other food, including fish, crustaceans and molluscs"
4615,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
4391,Roofing activities
4321,Electrical installation
4322,"Plumbing, heat and air-conditioning installation"
4329,Other construction installation
2529,"Manufacture of other tanks, reservoirs and containers of metal"
4331,Plastering
4332,Joinery installation
2550,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
4333,Floor and wall covering
4120,Construction of residential and non-residential buildings
2561,Treatment and coating of metals
2593,"Manufacture of wire products, chain and springs"
2592,Manufacture of light metal packaging
4339,Other building completion and finishing
3811,Collection of non-hazardous waste
4741,"Retail sale of computers, peripheral units and software in specialised stores"
3812,Collection of hazardous waste
2591,Manufacture of steel drums and similar containers
3821,Treatment and disposal of non-hazardous waste
3822,Treatment and disposal of hazardous waste
3831,Dismantling of wrecks
3832,Recovery of sorted materials
2573,Manufacture of tools
2572,Manufacture of locks and hinges
4614,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
3900,Remediation activities and other waste management services
4222,Construction of utility projects for electricity and telecommunications
2571,Manufacture of cutlery
4291,Construction of water projects
2562,Machining
4110,Development of building projects
3700,Sewerage
4334,Painting and glazing
2521,Manufacture of central heating radiators and boilers
4616,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
4617,"Agents involved in the sale of food, beverages and tobacco"
4618,Agents specialised in the sale of other particular products
4619,Agents involved in the sale of a variety of goods
2446,Processing of nuclear fuel
4622,Wholesale of flowers and plants
4623,Wholesale of live animals
4624,"Wholesale of hides, skins and leather"
2445,Other non-ferrous metal production
4631,Wholesale of fruit and vegetables
4632,Wholesale of meat and meat products
4633,"Wholesale of dairy products, eggs and edible oils and fats"
4399,Other specialised construction activities n.e.c.
2512,Manufacture of doors and windows of metal
2511,Manufacture of metal structures and parts of structures
4511,Sale of cars and light motor vehicles
4519,Sale of other motor vehicles
4520,Maintenance and repair of motor vehicles
2454,Casting of other non-ferrous metals
4531,Wholesale trade of motor vehicle parts and accessories
4532,Retail trade of motor vehicle parts and accessories
2453,Casting of light metals
4642,Wholesale of clothing and footwear
4742,Retail sale of telecommunications equipment in specialised stores
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories"
2452,Casting of steel
2451,Casting of iron
4611,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
4613,Agents involved in the sale of timber and building materials
4639,"Non-specialised wholesale of food, beverages and tobacco"
2594,Manufacture of fasteners and screw machine products
3600,"Water collection, treatment and supply"
3103,Manufacture of mattresses
2892,"Manufacture of machinery for mining, quarrying and construction"
2893,"Manufacture of machinery for food, beverage and tobacco processing"
2894,"Manufacture of machinery for textile, apparel and leather production"
2895,Manufacture of machinery for paper and paperboard production
2896,Manufacture of plastics and rubber machinery
2822,Manufacture of lifting and handling equipment
2899,Manufacture of other special-purpose machinery n.e.c.
2720,Manufacture of batteries and accumulators
3514,Trade of electricity
2910,Manufacture of motor vehicles
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
2712,Manufacture of electricity distribution and control apparatus
2931,Manufacture of electrical and electronic equipment for motor vehicles
2932,Manufacture of other parts and accessories for motor vehicles
3315,Repair and maintenance of ships and boats
2711,"Manufacture of electric motors, generators and transformers"
3011,Building of ships and floating structures
3012,Building of pleasure and sporting boats
2891,Manufacture of machinery for metallurgy
2680,Manufacture of magnetic and optical media
2731,Manufacture of fibre optic cables
2841,Manufacture of metal forming machinery
2790,Manufacture of other electrical equipment
3316,Repair and maintenance of aircraft and spacecraft
2740,Manufacture of electric lighting equipment
3102,Manufacture of kitchen furniture
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
2812,Manufacture of fluid power equipment
2813,Manufacture of other pumps and compressors
2814,Manufacture of other taps and valves
2815,"Manufacture of bearings, gears, gearing and driving elements"
6630,Fund management activities
2821,"Manufacture of ovens, furnaces and furnace burners"
2612,Manufacture of loaded electronic boards
2823,Manufacture of office machinery and equipment (except computers and peripheral equipment)
2825,Manufacture of non-domestic cooling and ventilation equipment
2829,Manufacture of other general-purpose machinery n.e.c.
2824,Manufacture of power-driven hand tools
2830,Manufacture of agricultural and forestry machinery
2732,Manufacture of other electronic and electric wires and cables
2849,Manufacture of other machine tools
5210,Warehousing and storage
2599,Manufacture of other fabricated metal products n.e.c.
