firm_id,oil_purchases_2020_1,gas_purchases_2020_1,electricity_purchases_2020_1,oil_purchases_2020_2,gas_purchases_2020_2,electricity_purchases_2020_2,oil_purchases_2021_1,gas_purchases_2021_1,electricity_purchases_2021_1,oil_purchases_2021_2,gas_purchases_2021_2,electricity_purchases_2021_2,oil_purchases_2022_1,gas_purchases_2022_1,electricity_purchases_2022_1,oil_purchases_2022_2,gas_purchases_2022_2,electricity_purchases_2022_2,oil_purchases_2023_1,gas_purchases_2023_1,electricity_purchases_2023_1,oil_purchases_2023_2,gas_purchases_2023_2,electricity_purchases_2023_2,oil_purchases_2024_1,gas_purchases_2024_1,electricity_purchases_2024_1,oil_purchases_2024_2,gas_purchases_2024_2,electricity_purchases_2024_2,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,employment_2020,employment_2021,employment_2022,employment_2023,employment_2024,ets_flag,nace2,nace4,parent_nace,fossil_purchases_2020,fossil_purchases_2021,fossil_purchases_2022,fossil_purchases_2023,fossil_purchases_2024
11,0,436747,8415922,7239336,398778,161011,0,270200,9526861,0,9398747,347516,7057205,436442,118182,0,7206689,271610,6898343,455345,297088,0,332631,410040,0,403880,307093,6027186,124965,316782,92798133021,90109337662,85898024522,82760500655,83725310674,80,76,76,76,74,0,9,914,B,8074861,9668947,14700336,7686319,6556031
12,6549246,199427,392170,0,458255,7475687,0,475012,366338,0,7577792,458075,0,269914,152587,0,273845,9136407,0,498024,9446114,0,6987596,465767,8131411,248127,246805,0,301806,196076,39728147762,38404907429,39610064177,40045893826,39476609335,214,212,216,213,213,0,19,1950,C,7206928,8052804,543759,7485620,8681344
13,0,8029675,317524,0,279035,7172026,0,8362275,435169,6284526,109973,377973,0,172866,491034,6309183,446075,147174,0,447634,7799922,7934721,126512,243860,0,7362896,101208,0,359878,120501,34842381222,36265643229,37681624563,36807384988,35435447703,457,455,461,472,488,0,13,1395,C,8308710,14756774,6928124,8508867,7722774
14,6391518,354290,497522,0,213920,251310,0,132553,132579,0,179642,8282985,0,247261,284054,0,439111,7580206,0,353032,8599359,0,286697,398627,7251449,495333,338561,0,9142179,461501,71200255001,72767437864,70929369677,70150653691,69779611787,289,295,300,310,310,0,14,1432,C,6959728,312195,686372,639729,16888961
15,0,306947,9569490,0,7836474,465574,0,377815,283584,0,173957,404818,0,353726,171179,0,336018,309283,0,148867,7364133,7461959,444267,162588,0,8374096,153674,0,294364,452045,85515735471,82394182579,85172748956,88244865349,92002474857,376,390,403,415,415,0,13,1358,C,8143421,551772,689744,8055093,8668460
16,0,185536,7968985,0,387828,205196,8562285,427945,106178,6103657,273781,300360,0,7534712,350773,0,411569,226383,0,7469432,478740,8383406,372477,291840,0,283349,315083,0,230786,499863,3219181147,3152250705,3025116083,3147431398,2997801490,484,466,479,500,513,0,15,1506,C,573364,15367668,7946281,16225315,514135
17,8077446,374027,270242,8276234,356229,110538,0,7342534,219743,0,310895,8550750,0,165731,8943028,6248985,119458,106223,0,159708,6599201,0,179424,362511,0,366379,203689,0,339156,454450,38107031336,36416537689,35554542273,33848679449,33791351546,366,357,352,369,383,0,8,877,B,17083936,7653429,6534174,339132,705535
18,0,201836,364506,6449015,306021,281847,7503332,457714,371322,6037163,215125,259742,0,6798077,104862,0,362328,292706,0,426865,358926,0,9346399,238804,0,142749,470278,0,143540,172343,97946375888,102332482853,99768390567,103709881828,102428613953,125,128,134,129,127,1,35,3512,D,6956872,14213334,7160405,9773264,286289
19,0,9410143,230791,0,288754,328287,0,124927,125580,0,225255,7168152,0,366643,243257,0,369615,219028,0,344081,150706,0,244868,468418,0,8723020,292557,0,129432,6852084,69118021662,68779237011,66314826361,68844240682,65728442612,347,357,344,359,360,0,16,1617,C,9698897,350182,736258,588949,8852452
20,0,203975,211441,0,113809,200570,0,292063,8167571,0,336017,386562,0,160391,6424377,0,7711699,248833,0,396115,7153385,0,491388,209879,0,298294,7161409,0,332782,6591445,54901844453,54627028703,56982366574,58315340664,59620960892,499,513,502,493,518,0,7,729,B,317784,628080,7872090,887503,631076
21,0,127239,176948,0,475392,7086420,0,9212128,234702,0,128451,8196611,0,493508,311064,0,184997,214877,0,431941,228022,0,6474815,108807,0,205150,7823008,0,406407,453359,53014886992,54733802031,54676787881,54007368057,51934613456,270,273,273,283,292,0,8,840,B,602631,9340579,678505,6906756,611557
22,0,8607044,102508,0,253375,425085,0,165503,7356921,0,236753,287454,0,339758,325845,0,362611,427948,0,269695,172217,7898869,294314,160213,6064707,481763,386093,0,192423,265306,33515629575,34949921919,33222395900,32780894660,32081882493,109,114,113,108,113,0,5,544,B,8860419,402256,702369,8462878,6738893
23,0,7157158,492239,0,229604,6703421,0,249579,300553,0,124695,193518,0,8937950,178469,0,444074,462220,0,6683721,452094,0,445049,311726,0,478315,425654,0,321700,7997319,97419115254,98547213344,102739157555,107794121397,104193076055,476,481,504,500,509,1,1,100,A,7386762,374274,9382024,7128770,800015
24,0,206760,7999216,0,445070,7825244,7487914,488288,325990,0,256982,113049,7241446,218273,488785,7787494,219376,246061,0,9332835,436822,0,154058,9240907,0,384124,276295,0,237656,414851,20264777037,21069928806,20028699292,20811711044,20723548741,443,437,459,445,445,0,18,1839,C,651830,8233184,15466589,9486893,621780
25,6111539,475262,144427,0,234327,8400271,0,220961,7334749,0,6827512,178393,0,7706542,190809,0,459018,7720825,0,217163,418842,7428961,479148,493254,0,297763,458530,0,8778092,255600,36190907629,34473428459,34147371086,34068951434,32694363517,122,128,128,122,127,0,15,1506,C,6821128,7048473,8165560,8125272,9075855
26,6293918,459634,403665,0,6884977,476675,6085910,224184,470449,0,6602087,285174,0,412975,443938,0,214100,129177,0,301225,7036869,0,234890,9669311,0,141396,154889,7208072,156622,155237,53150200898,52405403534,50907569367,50453431787,50028218247,290,288,299,293,290,0,11,1173,C,13638529,12912181,627075,536115,7506090
27,0,181490,465117,0,448432,7793730,7577327,359148,382294,0,8418831,145099,0,322196,9698697,0,217755,9612891,8432252,248214,474064,8604862,297923,155686,0,187884,434387,0,394541,406782,49208310219,47223372839,46979500892,48772565715,47359778220,45,43,43,43,42,0,6,618,B,629922,16355306,539951,17583251,582425
28,0,9100047,122753,6026913,146568,247312,0,449022,306703,0,7755723,176956,0,495570,308741,0,9530884,457540,0,8237325,273353,0,8003056,253336,0,413784,102184,0,106037,499117,23677652270,24401347291,24109242914,24611881488,24703973508,43,44,43,42,42,0,15,1580,C,15273528,8204745,10026454,16240381,519821
29,0,439813,321257,0,9327619,126247,0,8592500,311089,0,198134,313920,0,471028,383748,0,283094,175152,0,221381,211107,0,7060132,186570,0,191233,7224358,0,463024,402140,22191967499,21936581590,21806681452,22142263586,21504406825,260,261,274,262,274,0,9,951,B,9767432,8790634,754122,7281513,654257
30,0,9396710,271897,0,478751,8333948,6063775,110621,295308,0,173972,140713,0,431504,7100688,0,370000,361021,0,146395,475646,0,255453,461827,0,221576,184937,7707276,169876,463099,13621534299,14220641216,14199673988,13907504834,13316848485,60,59,58,58,57,0,6,692,B,9875461,6348368,801504,401848,8098728
31,0,449304,8139962,0,7808544,481791,0,268719,460506,0,218724,244255,0,411141,380037,0,7030644,364704,0,305909,384350,0,110112,392493,0,409115,9128433,0,423137,211895,48886157592,48124229360,48750507306,50313349536,47968914054,493,508,506,516,505,0,7,729,B,8257848,487443,7441785,416021,832252
32,0,132313,353505,0,341932,121099,0,249676,315889,0,8596523,226923,0,7307293,170782,0,171770,232434,0,440689,272163,0,9028606,432834,0,9270283,288035,0,169841,244852,95722062291,95849207148,91577925798,87499082473,87520610068,129,127,122,122,123,0,2,211,A,474245,8846199,7479063,9469295,9440124
33,0,206561,305498,0,472946,454968,0,8843572,311831,0,215940,187357,6375389,142628,302884,0,200418,8167795,0,347441,372985,0,7052264,131944,6524069,344403,450416,0,256352,7293434,26400465380,25200962189,25288441389,25659810371,25466319178,208,201,195,203,210,0,35,3522,D,679507,9059512,6718435,7399705,7124824
34,0,7217370,487909,0,310797,7787603,0,467523,123098,0,7132529,179433,0,186970,202187,6224112,309853,461793,0,307791,8742303,0,379128,8925077,0,273318,7393524,6293227,273648,177755,70106383091,68646291839,69122721239,69284421075,71714005988,71,72,71,74,76,0,9,951,B,7528167,7600052,6720935,686919,6840193
35,0,366732,136694,0,385458,345475,0,124890,361956,0,424297,363316,8442683,343826,420575,0,123883,7462939,8250322,391340,444117,0,457734,303442,0,495308,376710,0,204859,8047291,71685460115,68387809713,70024364117,71469146225,71721961713,245,254,243,234,241,0,17,1728,C,752190,549187,8910392,9099396,700167
36,0,160020,9393487,0,222754,326112,0,148893,241870,0,9005688,147119,0,8610532,480980,0,9637761,126779,0,301994,414808,0,489048,499362,6814345,100326,468244,0,361158,421581,63338811957,63006702271,60610823966,62041015431,61249795090,195,201,208,203,195,0,35,3521,D,382774,9154581,18248293,791042,7275829
37,0,304271,9452324,7140096,123868,209481,0,8552146,234982,0,436435,8459375,0,198045,195011,0,441631,467076,0,350708,444170,0,8296896,126789,6684908,481443,359558,0,391470,8034757,90594273828,93241245212,89127890215,88615061167,86969055609,375,382,386,389,389,1,16,1691,C,7568235,8988581,639676,8647604,7557821
38,0,406057,7559140,0,386223,247196,8661196,464335,326540,0,269880,348511,0,377900,9116574,7755200,456412,165144,0,237313,238007,7504310,323062,122793,0,307086,8969557,6299448,353407,294177,68754937499,68582960807,68725165622,65661900645,64857786874,192,200,206,203,208,1,16,1617,C,792280,9395411,8589512,8064685,6959941
39,0,274024,7560238,7845935,195151,301651,0,417595,252654,8708257,442460,232821,0,7809996,136471,0,432057,476047,0,141230,408610,0,174524,244208,0,179034,320823,0,149466,285310,32608595237,31220933012,30822129070,29947122841,30392523283,417,418,420,410,411,0,3,322,A,8315110,9568312,8242053,315754,328500
40,0,370508,7329605,0,7549265,235625,0,325450,278396,0,221821,196599,7552302,383994,290066,0,8679205,358980,0,228354,441897,0,390072,247979,0,7543312,475139,6146664,128639,439859,97887186869,93125968531,90756587862,93552753973,94440523999,373,385,374,393,400,0,11,1136,C,7919773,547271,16615501,618426,13818615
41,0,7598983,445000,0,419415,469795,0,174261,9456774,7338523,182712,404535,0,8835606,110882,0,394929,353632,0,382486,180596,0,364136,8812418,0,290551,276437,0,486283,8953291,91804625542,91614537027,95909773285,93483775470,96687905382,477,469,483,482,467,0,35,3514,D,8018398,7695496,9230535,746622,776834
42,7202617,308662,106810,0,6762663,149749,0,474227,427297,0,183969,7177961,0,8477616,239334,0,391338,8282004,6777813,403533,198878,0,497224,8733534,0,143540,170351,0,7359645,262295,41513366333,43217655490,44885627671,46060672684,43794457344,115,118,123,121,117,0,14,1432,C,14273942,658196,8868954,7678570,7503185
43,0,292276,185840,0,233302,264686,0,448942,8221192,0,6573230,350276,0,330764,145575,0,283934,432880,0,333681,347862,8503960,217668,379994,0,9357476,303996,0,236921,116484,71966021546,74629316293,75963800259,77226034566,73616701105,19,20,20,21,20,0,13,1321,C,525578,7022172,614698,9055309,9594397
44,8317449,197644,167528,7346930,419999,122689,7682814,203202,283821,0,198502,8033582,0,247488,496046,0,218448,399627,0,345792,7297472,0,9110500,131689,0,405879,403229,0,205299,9024940,35372739485,34168078910,35691652140,36715658749,37726839703,151,144,147,153,151,0,5,507,B,16282022,8084518,465936,9456292,611178
45,0,297283,115093,0,480479,8722180,0,262616,102831,0,416611,7927510,0,8230165,138887,0,445993,381346,0,331422,183529,0,9178718,185983,0,159763,6785594,6097702,106850,303862,31149588370,31453457586,31907138020,30894290643,31636204153,112,108,109,114,109,0,35,3521,D,777762,679227,8676158,9510140,6364315
46,0,385211,324033,0,450245,469445,0,277212,226369,0,437750,6456469,0,147598,273379,0,360705,405480,0,317132,6941628,0,362336,182668,0,439372,109754,0,257716,178891,52062304791,53108378234,51470884126,52694081447,51529023887,423,425,446,435,416,0,19,1950,C,835456,714962,508303,679468,697088
47,0,159617,274575,0,8910307,398312,6925334,169673,375456,0,7845962,226009,6424822,135053,493406,0,228793,8436744,7518025,122309,188059,8940975,464376,177377,0,9674535,163836,0,175721,248207,41091158263,39580469726,39278644700,39036265378,40535042230,490,494,473,483,466,0,7,729,B,9069924,14940969,6788668,17045685,9850256
48,0,265003,354651,0,7565114,112557,0,184961,296273,7216716,376017,151351,8526122,181766,316700,0,414510,303255,0,397884,228922,7696968,403698,125266,0,104026,6669565,6920316,484303,115956,40720309364,38829989152,40515370965,39427267849,39337893256,152,153,159,151,158,0,17,1765,C,7830117,7777694,9122398,8498550,7508645
49,6725653,287646,304152,8911248,431002,402465,0,394187,273115,0,466553,312482,0,268329,7866415,0,366157,7744401,0,466910,370058,0,468652,9495288,7363419,198401,422204,7524662,462334,345331,67928863882,68816461120,70590811230,71753132922,71772192091,151,158,164,171,179,0,12,1247,C,16355549,860740,634486,935562,15548816
50,0,448925,159388,0,445633,7597041,0,365104,6653975,0,6495566,297171,0,114767,7342525,6534631,332977,485462,0,7310418,251872,6574074,381253,455914,0,354409,460577,0,7678142,233260,23831752988,24147754084,25031543259,25821104187,25694027832,449,458,470,465,453,0,15,1506,C,894558,6860670,6982375,14265745,8032551
51,0,9205986,110316,7682418,209007,229354,0,363559,7621774,7967728,374736,264904,0,145313,308072,0,334548,478598,0,8093489,112996,0,187148,162060,0,292344,6439838,0,406214,202365,40762079874,41993378501,43003613961,42538804399,40897332256,107,109,107,105,104,0,14,1432,C,17097411,8706023,479861,8280637,698558
52,6430106,186048,323982,0,7431855,418345,6075592,491807,487870,0,498040,375447,0,495708,399483,0,218554,301837,0,486782,320685,6408612,357246,254905,0,365528,142298,8153627,156411,476892,7275493325,7376454009,7199749652,7453260002,7701065760,44,42,41,43,43,0,1,137,A,14048009,7065439,714262,7252640,8675566
53,0,346759,194140,7844900,347803,238378,0,498097,307217,0,331509,8615574,6823552,193937,365157,0,9082440,352992,0,121620,8265586,6321175,127837,488823,0,441172,6802640,0,8825041,384572,26276277796,26270743602,26155727457,26662719962,25406006121,304,317,309,297,292,0,5,507,B,8539462,829606,16099929,6570632,9266213
54,0,461231,300780,0,6311383,123248,0,286589,312288,0,144931,213411,0,424223,6490381,0,165352,8555916,0,127451,9605018,0,8372561,456864,0,8576013,261703,0,211312,244237,40141415635,38296697631,37031575962,36632712698,35022342880,445,444,463,466,450,0,7,766,B,6772614,431520,589575,8500012,8787325
55,8221275,272103,343205,0,299206,436931,0,297532,398712,0,291554,342450,0,141482,281810,7024569,118802,482607,0,375228,6742437,0,8392456,334959,0,317760,116455,0,7151145,459908,78705028859,80875530182,81089449027,82343923694,85105498929,321,323,308,321,307,0,8,840,B,8792584,589086,7284853,8767684,7468905
56,0,416581,7025565,0,9605531,331157,8953976,279502,379595,6671423,203220,205337,0,397353,8633131,0,9381520,451049,0,238036,8477273,0,185190,7921394,6061134,158418,405577,0,7910887,418883,17190480641,17635333936,16974738197,17105596360,17435063695,29,29,28,28,28,0,6,610,B,10022112,16108121,9778873,423226,14130439
57,0,7424089,366625,0,7082799,110618,0,310187,7088012,0,364576,337749,0,7980773,277755,0,100348,7296835,0,155996,367514,0,461463,324151,0,486177,8568519,0,278769,447414,77387670794,80711394502,80954259197,81505944767,84249928142,64,64,64,62,61,0,9,951,B,14506888,674763,8081121,617459,764946
58,0,135315,6727506,0,347759,480623,0,216925,290888,7007720,493394,460094,0,380266,195973,0,8459496,382429,0,291015,220289,0,222159,316558,0,451271,422993,0,149584,204476,77453197377,75693114026,74504219129,75844418471,75885448066,476,460,478,500,493,0,35,3513,D,483074,7718039,8839762,513174,600855
59,7790308,258893,408064,0,280394,212260,0,175972,270651,0,8453498,458634,0,6543481,147413,0,7278667,198012,0,294245,274532,0,8059002,398322,0,8670221,327790,0,9479333,222490,3199643891,3355358070,3226840230,3126361568,3247559373,401,384,400,405,409,0,13,1395,C,8329595,8629470,13822148,8353247,18149554
60,0,403536,8873438,0,191754,104552,0,7284069,398240,0,8082111,485289,0,7553474,485630,6430109,137761,311599,0,403757,293012,0,299436,8033620,0,222407,460782,0,6832581,336302,83705543088,85435673450,87281301259,89489277343,89374708723,311,308,296,297,282,0,12,1284,C,595290,15366180,14121344,703193,7054988
61,0,216216,488981,8160681,279378,270888,0,9217397,292946,0,134962,6763475,0,133039,269112,0,243811,7632179,0,403825,6660730,0,399735,464175,6439251,305168,392193,0,146499,7968668,44325157685,46432731710,44772714882,45336262286,45144658073,22,22,22,22,24,0,18,1839,C,8656275,9352359,376850,803560,6890918
62,0,337832,7537474,0,131359,349600,0,291744,181449,0,254744,130038,0,418516,8828090,0,7077195,100610,8232805,148472,286976,6453939,359453,271765,0,477325,437487,6532629,240433,300725,25319177712,24404309438,25501842372,25910436185,25786500273,408,425,406,420,432,0,13,1395,C,469191,546488,7495711,15194669,7250387
63,0,334290,376946,0,364663,8332759,0,361043,176745,0,437457,8728226,0,179543,311839,0,435035,137613,7785970,359988,480194,0,182814,188337,7086436,396189,323042,8806866,326337,130659,17657342997,18233270234,17804375645,17309632949,18036382454,234,232,231,226,235,0,5,544,B,698953,798500,614578,8328772,16615828
64,7443320,222858,123107,8071155,125333,470779,0,272290,6939955,0,348976,7466369,0,7986038,396367,0,235429,219131,0,8062206,303092,0,129021,9358657,8737030,175684,410445,0,7748603,342405,11840335638,11815993195,11372700932,11260356393,11383212373,404,421,439,445,433,0,19,1913,C,15862666,621266,8221467,8191227,16661317
65,0,8380386,458405,0,248792,127220,0,368824,424979,0,222102,499129,0,101086,9074029,6651431,396492,375841,8666741,464809,217079,0,473071,151975,0,382113,7088192,0,198828,9301214,64851114396,63360198029,65547051752,63515728683,62160194831,89,91,93,93,89,0,6,618,B,8629178,590926,7149009,9604621,580941
67,6983458,263418,205977,6632339,406172,136293,6451184,270669,182047,0,6934491,475170,0,6324722,375995,7437224,139838,478713,7099504,306581,307797,0,120126,9078986,0,330220,160184,0,240112,299273,3017320796,3082760383,3217242838,3234555018,3120871454,205,212,206,209,208,0,18,1802,C,14285387,13656344,13901784,7526211,570332
68,6159547,320928,313656,0,145444,7573321,0,8325883,194913,0,375322,250690,0,484398,7146330,0,6684404,424353,0,471896,433438,0,359878,344446,0,8310539,252692,0,7393105,359569,7611842636,7905914361,7947311098,8267392295,7959689288,127,130,127,121,125,1,5,544,B,6625919,8701205,7168802,831774,15703644
69,0,414381,385521,0,395315,7312998,0,253982,482141,6022429,390875,160556,8225329,214863,487136,0,8878442,481101,0,340827,321015,0,220691,400493,0,325762,6604507,0,7405047,400254,6551465242,6709944407,6431612972,6342702498,6536096072,320,314,309,294,307,0,35,3521,D,809696,6667286,17318634,561518,7730809
70,0,269519,7757095,0,290461,473054,0,447025,7736429,0,294975,453723,0,485826,8024103,6962259,126717,282557,0,6873399,344982,0,9428755,404490,6622175,477616,185529,0,440987,457586,43734388731,45394661775,46707594779,44673681953,43715370505,275,262,253,260,265,0,7,766,B,559980,742000,7574802,16302154,7540778
71,0,169301,457400,0,294364,336791,0,265755,7368538,0,8570410,341778,0,388828,266931,0,280959,279796,0,8310621,219027,0,358988,6630815,0,233945,6939415,0,189902,337220,34551296265,32852609242,33529524347,32749138319,33899349100,275,264,271,281,293,0,15,1543,C,463665,8836165,669787,8669609,423847
72,6120939,311886,186923,7937744,155129,246961,0,8323740,115825,0,295624,419811,0,484950,7051529,0,122367,299926,0,154241,412097,8673315,418756,125799,0,8379294,173356,0,265674,125146,57570785290,58633174073,59056078609,58016905339,59145419859,186,189,187,190,192,0,1,100,A,14525698,8619364,607317,9246312,8644968
73,0,159670,227963,6186074,426387,185007,0,333740,7710528,0,452765,243939,0,6839859,498230,0,402135,374233,6609510,274966,483573,0,366011,349909,0,360485,295659,8539173,356591,217562,72787022262,72255536290,70076567966,69623954547,68489169895,341,333,317,302,308,0,7,766,B,6772131,786505,7241994,7250487,9256249
74,0,170882,328484,8305294,387844,138951,0,210488,476983,6662105,271845,248853,0,369066,246719,0,9077793,485971,0,332434,280448,0,168701,6462355,6310990,166501,250972,8152707,466939,476255,52391982313,54375410029,54146104672,53262262185,53304999850,266,271,272,259,255,0,35,3512,D,8864020,7144438,9446859,501135,15097137
75,0,6460329,286263,8582819,124342,262800,0,101683,7604789,6355813,370646,174275,0,144970,475289,0,336938,8462933,0,329770,274115,0,322492,8602863,0,6533868,350275,0,460221,135601,14089278479,14207339716,14092496614,13737711448,13760331606,455,460,474,458,443,0,12,1284,C,15167490,6828142,481908,652262,6994089
76,0,251361,450172,0,383837,252507,0,8846044,154481,0,159144,193771,0,329894,8663761,0,244332,490072,8283000,115862,210878,0,7072919,167483,0,8028589,348905,0,375927,7526134,14479464445,15077024139,15157812800,15457339244,15587949630,472,470,472,454,469,0,7,766,B,635198,9005188,574226,15471781,8404516
78,0,7085766,261930,0,448621,8730181,0,7330988,287114,0,249014,436598,0,204363,217207,0,9219918,129667,0,195110,421719,0,383977,7173090,0,401598,330618,0,8641255,463050,34644592422,35338596769,33867963609,35229068269,35532682920,101,98,101,106,106,0,2,211,A,7534387,7580002,9424281,579087,9042853
79,0,8889710,438409,0,391542,199512,0,258374,408150,0,246499,8192859,6275309,151861,119232,0,113483,240491,8948869,447737,427163,0,159745,470687,0,416308,9262196,0,438853,8927068,32623800667,31119312821,31450246740,30035852643,30891199330,293,305,301,299,298,0,9,988,B,9281252,504873,6540653,9556351,855161
80,0,248436,446541,0,304879,331144,6475741,193929,296726,0,8940315,352748,0,397184,491935,0,294159,392077,8168800,269557,246157,0,7943386,229991,0,108681,145206,0,6588401,386729,31449117787,30157083090,29399025479,30530040788,30232356279,437,449,435,448,454,0,12,1247,C,553315,15609985,691343,16381743,6697082
81,0,117935,6843828,0,223691,429162,0,9250521,309322,0,6816734,477461,0,265379,167111,0,112259,9405687,0,152634,236507,0,389904,9537070,0,7403343,417362,0,340362,243250,87357724837,87272451583,82974791056,80418292425,81223006160,268,257,248,256,260,0,18,1876,C,341626,16067255,377638,542538,7743705
82,0,7987466,484468,8563333,142060,191662,8097210,179859,253689,0,484659,487744,8005763,164661,386895,7599303,122948,152231,0,7090200,281699,0,7722211,358952,0,9364789,404607,0,9441415,326612,59656130778,57399071200,57435108099,57359243584,57991449951,126,130,134,131,136,0,6,692,B,16692859,8761728,15892675,14812411,18806204
83,0,7045871,272541,0,8732968,189526,6942451,209261,377648,0,424650,203220,8053734,196290,206700,0,159510,293016,0,6620618,117440,8973058,377812,372710,0,341624,229376,0,110275,7702340,30284993927,29495876546,30290684832,30893795967,30847463209,299,294,283,282,286,0,35,3514,D,15778839,7576362,8409534,15971488,451899
84,0,187472,184688,0,454168,7935388,0,8445749,128333,0,370177,304869,0,361126,431053,0,9123895,369220,0,349452,203591,0,280585,183280,0,195755,269787,0,8278422,231340,37570703448,35912553407,35090058589,34650529921,33449205133,194,188,185,176,173,0,16,1617,C,641640,8815926,9485021,630037,8474177
85,8928639,431819,118123,0,465615,275180,0,404044,457811,0,346536,177747,0,290697,343042,8689966,402045,325965,0,119483,9172811,0,446589,330247,0,131117,261374,0,266789,179992,71087327314,70688084717,73289550963,74798029189,76280167610,154,153,146,150,149,0,11,1136,C,9826073,750580,9382708,566072,397906
86,6805620,239969,281231,0,6674544,208997,0,208885,202745,0,223363,284015,0,126702,204634,7488320,385758,342185,0,258165,9204295,0,349926,221884,8004396,411066,478231,0,171807,8404058,30574604745,30754335899,29901528082,30776823206,31788348446,292,290,299,313,302,0,13,1321,C,13720133,432248,8000780,608091,8587269
87,7831123,373002,476457,0,361550,352097,0,7957023,368514,0,9003376,428017,0,429962,362289,0,262926,9074222,0,7272610,335921,0,425046,8484578,6708133,495467,365212,0,8811910,463638,51836633813,49446222193,50112719752,52288653872,50056593073,485,472,465,488,496,0,35,3521,D,8565675,16960399,692888,7697656,16015510
